PATH	DURATION	TRANSCRIPT
/LibriSpeech/dev-clean/2412/153948/2412-153948-0001-norm.wav	10.51	it will be seen that i did not succeed in my design and that however much i may have met with that was new and strange i have been unable to reap any pecuniary advantage
/LibriSpeech/dev-clean/2412/153948/2412-153948-0002-norm.wav	3.72	no one who is himself honest will doubt my being so
/LibriSpeech/dev-clean/2412/153948/2412-153948-0003-norm.wav	8.515	i reached my destination in one of the last months of eighteen sixty eight but i dare not mention the season lest the reader should gather in which hemisphere i was
/LibriSpeech/dev-clean/2412/153948/2412-153948-0004-norm.wav	22.68	sheep and cattle were introduced and bred with extreme rapidity men took up their fifty thousand or one hundred thousand acres of country going inland one behind the other till in a few years there was not an acre between the sea and the front ranges which was not taken up and stations either for sheep or cattle were spotted about at intervals of some twenty or thirty miles over the whole country
/LibriSpeech/dev-clean/2412/153948/2412-153948-0005-norm.wav	3.14	i was delighted with the country and the manner of life
/LibriSpeech/dev-clean/2412/153948/2412-153948-0006-norm.wav	16.615	i was to see the sheep not necessarily close at hand nor to get them in a single mob but to see enough of them here and there to feel easy that nothing had gone wrong this was no difficult matter for there were not above eight hundred of them and being all breeding ewes they were pretty quiet
/LibriSpeech/dev-clean/2412/153948/2412-153948-0007-norm.wav	9.37	there were a good many sheep which i knew as two or three black ewes and a black lamb or two and several others which had some distinguishing mark whereby i could tell them
/LibriSpeech/dev-clean/2412/153948/2412-153948-0008-norm.wav	5.815	it is surprising how soon the eye becomes accustomed to missing twenty sheep out of two or three hundred
/LibriSpeech/dev-clean/2412/153948/2412-153948-0009-norm.wav	5.995	it was a monotonous life but it was very healthy and one does not much mind anything when one is well
/LibriSpeech/dev-clean/2412/153948/2412-153948-0010-norm.wav	2.915	the country was the grandest that can be imagined
/LibriSpeech/dev-clean/2412/153948/2412-153948-0011-norm.wav	9.7450625	so lonely and so solemn with the sad grey clouds above and no sound save a lost lamb bleating upon the mountain side as though its little heart were breaking
/LibriSpeech/dev-clean/2412/153948/2412-153948-0012-norm.wav	6.17	each must cry louder and wander farther yet may luck be with them both that they may find their own at nightfall
/LibriSpeech/dev-clean/2412/153948/2412-153948-0013-norm.wav	8.54	i had no money but if i could only find workable country i might stock it with borrowed capital and consider myself a made man
/LibriSpeech/dev-clean/2412/153948/2412-153948-0014-norm.wav	9.705	there was no one in the whole world who had the smallest idea save those who were themselves on the other side of it if indeed there was any one at all could i hope to cross it
/LibriSpeech/dev-clean/2412/153948/2412-153948-0015-norm.wav	3.465	i would try the nearer range and see how far i could go
/LibriSpeech/dev-clean/2412/153947/2412-153947-0000-norm.wav	2.55	preface to second edition
/LibriSpeech/dev-clean/2412/153947/2412-153947-0001-norm.wav	3.225	this is a mistake though a perfectly natural one
/LibriSpeech/dev-clean/2412/153947/2412-153947-0002-norm.wav	6.595	on my return i purposely avoided looking into it until i had sent back my last revises to the printer
/LibriSpeech/dev-clean/2412/153947/2412-153947-0003-norm.wav	9.515	then i had much pleasure in reading it but was indeed surprised at the many little points of similarity between the two books in spite of their entire independence to one another
/LibriSpeech/dev-clean/2412/153947/2412-153947-0004-norm.wav	8.72	i regret that reviewers have in some cases been inclined to treat the chapters on machines as an attempt to reduce mister darwin's theory to an absurdity
/LibriSpeech/dev-clean/2412/153947/2412-153947-0005-norm.wav	13.68	i am surprised however that the book at which such an example of the specious misuse of analogy would seem most naturally levelled should have occurred to no reviewer neither shall i mention the name of the book here though i should fancy that the hint given will suffice
/LibriSpeech/dev-clean/2412/153947/2412-153947-0006-norm.wav	11.68	but this had an effect of which i have little reason to complain for i was allowed almost to call them life long self deceivers to their faces and they said it was quite true but that it did not matter
/LibriSpeech/dev-clean/2412/153947/2412-153947-0007-norm.wav	8.735	i must not conclude without expressing my most sincere thanks to my critics and to the public for the leniency and consideration with which they have treated my adventures
/LibriSpeech/dev-clean/2412/153947/2412-153947-0008-norm.wav	10.84	it was written in the upper rangitata district of the canterbury province as it then was of new zealand and appeared at christchurch in the press newspaper june thirteenth eighteen sixty three
/LibriSpeech/dev-clean/2412/153947/2412-153947-0009-norm.wav	8.72	i also wrote about this time the substance of what ultimately became the musical banks and the trial of a man for being in a consumption
/LibriSpeech/dev-clean/2412/153947/2412-153947-0010-norm.wav	17.1950625	i see from my second preface that i took the book to messrs chapman and hall may first eighteen seventy one and on their rejection of it under the advice of one who has attained the highest rank among living writers i let it sleep till i took it to mister trubner early in eighteen seventy two
/LibriSpeech/dev-clean/2412/153947/2412-153947-0011-norm.wav	10.13	i attribute its unlooked for success mainly to two early favourable reviews the first in the pall mall gazette of april twelfth and the second in the spectator of april twentieth
/LibriSpeech/dev-clean/2412/153947/2412-153947-0012-norm.wav	1.98	there was also another cause
/LibriSpeech/dev-clean/2412/153947/2412-153947-0013-norm.wav	8.42	the first edition of erewhon sold in about three weeks i had not taken moulds and as the demand was strong it was set up again immediately
/LibriSpeech/dev-clean/2412/153947/2412-153947-0014-norm.wav	12.795	i made a few further very trifling alterations before moulds were taken but since the summer of eighteen seventy two as new editions were from time to time wanted they have been printed from stereos then made
/LibriSpeech/dev-clean/2412/153947/2412-153947-0015-norm.wav	11.03	i am still fairly well satisfied with those parts of erewhon that were repeatedly rewritten but from those that had only a single writing i would gladly cut out some forty or fifty pages if i could
/LibriSpeech/dev-clean/2412/153947/2412-153947-0016-norm.wav	5.185	this however may not be for the copyright will probably expire in a little over twelve years
/LibriSpeech/dev-clean/251/136532/251-136532-0000-norm.wav	9.81	they also found a martian calendar the year had been divided into ten more or less equal months and one of them had been doma
/LibriSpeech/dev-clean/251/136532/251-136532-0001-norm.wav	6.855	bill chandler the zoologist had been going deeper and deeper into the old sea bottom of syrtis
/LibriSpeech/dev-clean/251/136532/251-136532-0002-norm.wav	6.55	that took the center of interest away from archaeology and started a new burst of activity
/LibriSpeech/dev-clean/251/136532/251-136532-0003-norm.wav	16.36	the civilian specialists in other fields and the space force people who had been holding tape lines and making sketches and snapping cameras were all flying to lower syrtis to find out how much oxygen there was and what kind of life it supported
/LibriSpeech/dev-clean/251/136532/251-136532-0004-norm.wav	24.8	they had four or five species of what might loosely be called birds and something that could easily be classed as a reptile and a carnivorous mammal the size of a cat with birdlike claws and a herbivore almost identical with the piglike thing in the big darfhulva mural and another like a gazelle with a single horn in the middle of its forehead
/LibriSpeech/dev-clean/251/136532/251-136532-0005-norm.wav	5.755	the daily newscasts from terra showed a corresponding shift in interest at home
/LibriSpeech/dev-clean/251/136532/251-136532-0006-norm.wav	2.565	tony's found the martians
/LibriSpeech/dev-clean/251/136532/251-136532-0007-norm.wav	5.605	it was locked from the inside and we had to burn it down with a torch that's where they are
/LibriSpeech/dev-clean/251/136532/251-136532-0008-norm.wav	9.79	gloria standish who had dropped in for lunch was on the mezzanine fairly screaming into a radiophone extension dozen and a half of them
/LibriSpeech/dev-clean/251/136532/251-136532-0009-norm.wav	3.625	well of course they're dead what a question
/LibriSpeech/dev-clean/251/136532/251-136532-0010-norm.wav	6.56	martha remembered the closed door on the first survey they hadn't attempted opening it
/LibriSpeech/dev-clean/251/136532/251-136532-0011-norm.wav	8.445	now it was burned away at both sides and lay still hot along the edges on the floor of the big office room in front
/LibriSpeech/dev-clean/251/136532/251-136532-0012-norm.wav	8.79	a floodlight was on in the room inside and lattimer was going around looking at things while a space force officer stood by the door
/LibriSpeech/dev-clean/251/136532/251-136532-0013-norm.wav	4.68	mass suicide that's what it was notice what's in the corners
/LibriSpeech/dev-clean/251/136532/251-136532-0014-norm.wav	2.265	yes charcoal
/LibriSpeech/dev-clean/251/136532/251-136532-0015-norm.wav	7.63	so they just came in here and lit the charcoal and sat drinking together till they all fell asleep
/LibriSpeech/dev-clean/251/136532/251-136532-0016-norm.wav	9.255	the terran public wanted to hear about martians and if live martians couldn't be found a room full of dead ones was the next best thing
/LibriSpeech/dev-clean/251/136532/251-136532-0017-norm.wav	15.365	tony lattimer the discoverer was beginning to cash in on his attentions to gloria and his ingratiation with sid he was always either making voice and image talks for telecast or listening to the news from the home planet
/LibriSpeech/dev-clean/251/136532/251-136532-0018-norm.wav	6.875	without question he had become overnight the most widely known archaeologist in history
/LibriSpeech/dev-clean/251/136532/251-136532-0019-norm.wav	9.345	not that i'm interested in all this for myself he disclaimed after listening to the telecast from terra two days after his discovery
/LibriSpeech/dev-clean/251/136532/251-136532-0020-norm.wav	2.975	bring it to the public attention dramatize it
/LibriSpeech/dev-clean/251/136532/251-136532-0021-norm.wav	6.55	so i believe i shall go back at least for a while and see what i can do
/LibriSpeech/dev-clean/251/136532/251-136532-0022-norm.wav	1.535	lectures
/LibriSpeech/dev-clean/251/136532/251-136532-0023-norm.wav	8.395	the organization of a society of martian archaeology with anthony lattimer ph d the logical candidate for the chair
/LibriSpeech/dev-clean/251/137823/251-137823-0000-norm.wav	3.435	i'll be glad to try sir he replied
/LibriSpeech/dev-clean/251/137823/251-137823-0001-norm.wav	5.48	inside a secret rocket telemetering device was mounted on its test stand
/LibriSpeech/dev-clean/251/137823/251-137823-0002-norm.wav	3.13	this isn't part of your testing routine is it
/LibriSpeech/dev-clean/251/137823/251-137823-0003-norm.wav	4.4	another engineer rushed toward the door to see what was happening outside
/LibriSpeech/dev-clean/251/137823/251-137823-0004-norm.wav	10.9850625	electronic equipment cascaded from the wall shelves and a heavy duty chain hoist came loose from its overhead track plunging to the floor with a terrifying crash
/LibriSpeech/dev-clean/251/137823/251-137823-0005-norm.wav	5.445	an instant later it crashed over pinning mark faber beneath it
/LibriSpeech/dev-clean/251/137823/251-137823-0006-norm.wav	3.975	bud threw up his arms to protect himself but too late
/LibriSpeech/dev-clean/251/137823/251-137823-0007-norm.wav	3.54	for minutes no one stirred among the wreckage
/LibriSpeech/dev-clean/251/137823/251-137823-0008-norm.wav	6.525	then tom who had been stunned by some falling debris raised himself to a sitting position
/LibriSpeech/dev-clean/251/137823/251-137823-0009-norm.wav	5.835	tom's eyes focused in horror on the wreckage enveloped by still billowing dust
/LibriSpeech/dev-clean/251/137823/251-137823-0010-norm.wav	7.955	the sky was visible through several gaping holes in the roof which was sagging dangerously on its supporting trusses
/LibriSpeech/dev-clean/251/137823/251-137823-0011-norm.wav	5.655	the young inventor had just noticed his friend lying pinned beneath a heavy beam nearby
/LibriSpeech/dev-clean/251/137823/251-137823-0012-norm.wav	2.485	his friend's eyelids flickered
/LibriSpeech/dev-clean/251/137823/251-137823-0013-norm.wav	4.96	we'd better not try to move him tom decided we'll get an ambulance
/LibriSpeech/dev-clean/251/137823/251-137823-0014-norm.wav	4.98	they picked their way through the wreckage and emerged on a scene of frightful destruction
/LibriSpeech/dev-clean/251/137823/251-137823-0015-norm.wav	2.615	let's see about getting help for mister faber
/LibriSpeech/dev-clean/251/137823/251-137823-0016-norm.wav	6.77	and the only truck we had available was in that burning shed the superintendent added bitterly
